anchor,positive,negative
"Ngành Kỹ thuật Hóa học học những môn gì trong Học Kỳ Thứ 3 năm Nhất?","Trong Học Kỳ Thứ 3 năm Nhất, ngành Kỹ thuật Hóa học học Hóa học, Phép tính 2, Nguyên lý cơ bản của CN Mác-Lênin 2, Tư tưởng Hồ Chí Minh, Giáo dục thể chất.","Trong Học Kỳ Thứ 3 năm Nhất, ngành Kỹ thuật Hóa học học các môn về hóa học, phép tính và tư tưởng Hồ Chí Minh."
"Ngành Kỹ thuật Hóa học học những môn gì trong Học Kỳ Thứ 1 năm Hai?","Trong Học Kỳ Thứ 1 năm Hai, ngành Kỹ thuật Hóa học học Hóa học 3, Phép tính 3, Tiếng Anh 2, Tính chất vật liệu, Giáo dục thể chất 2.","Trong Học Kỳ Thứ 1 năm Hai, ngành Kỹ thuật Hóa học học các môn về hóa học, phép tính và tính chất vật liệu."
"Ngành Kỹ thuật Hóa học học những môn gì trong Học Kỳ Thứ 2 năm Hai?","Trong Học Kỳ Thứ 2 năm Hai, ngành Kỹ thuật Hóa học học Hóa hữu cơ 1, Phương pháp tính trong kỹ thuật hóa học và khoa học vật liệu, Phân tích Véctơ, Vật lý 1.","Trong Học Kỳ Thứ 2 năm Hai, ngành Kỹ thuật Hóa học học các môn về hóa hữu cơ, phương pháp tính và vật lý."
"Ngành Kỹ thuật Hóa học học những môn gì trong Học Kỳ Thứ 3 năm Hai?","Trong Học Kỳ Thứ 3 năm Hai, ngành Kỹ thuật Hóa học học Hóa hữu cơ 2, Đại số tuyến tính, Vật lý 2, Cân bằng vật liệu, Thí nghiệm Hóa hữu cơ.","Trong Học Kỳ Thứ 3 năm Hai, ngành Kỹ thuật Hóa học học các môn về hóa hữu cơ, vật lý và cân bằng vật liệu."
"Ngành Kỹ thuật Hóa học học những môn gì trong Học Kỳ Thứ 1 năm Ba?","Trong Học Kỳ Thứ 1 năm Ba, ngành Kỹ thuật Hóa học học Vật lý 3, Phương trình vi phân, Hóa lý 1, Phân tích kỹ thuật hóa học.","Trong Học Kỳ Thứ 1 năm Ba, ngành Kỹ thuật Hóa học học các môn về vật lý, phương trình vi phân và hóa lý."
"Ngành Kỹ thuật Hóa học học những môn gì trong Học Kỳ Thứ 2 năm Ba?","Trong Học Kỳ Thứ 2 năm Ba, ngành Kỹ thuật Hóa học học Nhiệt động học, Hóa lý 2, Công nghệ sinh học, Cơ học chất lỏng.","Trong Học Kỳ Thứ 2 năm Ba, ngành Kỹ thuật Hóa học học các môn về nhiệt động học, hóa lý và công nghệ sinh học."
"Ngành Kỹ thuật Hóa học học những môn gì trong Học Kỳ Thứ 3 năm Ba?","Trong Học Kỳ Thứ 3 năm Ba, ngành Kỹ thuật Hóa học học Truyền nhiệt, Nhiệt động học 2, Môn học lựa chọn trong Kỹ thuật Hóa học, Môn học lựa chọn trong Kỹ thuật Hóa học và Khoa học vật liệu.","Trong Học Kỳ Thứ 3 năm Ba, ngành Kỹ thuật Hóa học học các môn về truyền nhiệt, nhiệt động học và môn học tự chọn."
"Ngành Kỹ thuật Hóa học học những môn gì trong Học Kỳ Thứ 1 năm Tư?","Trong Học Kỳ Thứ 1 năm Tư, ngành Kỹ thuật Hóa học học Truyền khối, Môn học tự chọn kỹ thuật, Môn học tự chọn chuyên ngành.","Trong Học Kỳ Thứ 1 năm Tư, ngành Kỹ thuật Hóa học học các môn về truyền khối và môn học tự chọn."
"Ngành Kỹ thuật Hóa học học những môn gì trong Học Kỳ Thứ 2 năm Tư?","Trong Học Kỳ Thứ 2 năm Tư, ngành Kỹ thuật Hóa học học Thiết kế 1, Thí nghiệm Kỹ thuật Hóa học, Động học, Môn học tự chọn kỹ thuật.","Trong Học Kỳ Thứ 2 năm Tư, ngành Kỹ thuật Hóa học học các môn về thiết kế, động học và thí nghiệm."
"Ngành Kỹ thuật Hóa học học những môn gì trong Học Kỳ Thứ 3 năm Tư?","Trong Học Kỳ Thứ 3 năm Tư, ngành Kỹ thuật Hóa học học Thiết kế 2, Thí nghiệm Kỹ thuật Hóa học, Điều khiển quá trình, Môn học tự chọn chuyên ngành.","Trong Học Kỳ Thứ 3 năm Tư, ngành Kỹ thuật Hóa học học các môn về thiết kế, điều khiển quá trình và thí nghiệm."
"Ngành Kỹ thuật Hóa học học những môn gì trong Học Kỳ Thứ 1 năm Năm?","Trong Học Kỳ Thứ 1 năm Năm, ngành Kỹ thuật Hóa học học Thiết kế 3, Môn học tự chọn chuyên ngành (Lọc – Hóa dầu).","Trong Học Kỳ Thứ 1 năm Năm, ngành Kỹ thuật Hóa học học môn thiết kế và các môn học tự chọn chuyên ngành."
"Ngành Kỹ thuật Hóa học có học môn Hóa học 1 không?","Ngành Kỹ thuật Hóa học học môn Hóa học 1 trong Học Kỳ Thứ 2 năm Nhất.","Ngành Kỹ thuật Hóa học không học môn Hóa học 1."
"Ngành Kỹ thuật Hóa học có học môn Hóa hữu cơ 1 không?","Ngành Kỹ thuật Hóa học học môn Hóa hữu cơ 1 trong Học Kỳ Thứ 2 năm Hai.","Ngành Kỹ thuật Hóa học không học môn Hóa hữu cơ 1."
"Ngành Kỹ thuật Hóa học có học môn Vật lý 1 không?","Ngành Kỹ thuật Hóa học học môn Vật lý 1 trong Học Kỳ Thứ 2 năm Hai.","Ngành Kỹ thuật Hóa học không học môn Vật lý 1."
"Ngành Kỹ thuật Hóa học có học môn Đại số tuyến tính không?","Ngành Kỹ thuật Hóa học học môn Đại số tuyến tính trong Học Kỳ Thứ 3 năm Hai.","Ngành Kỹ thuật Hóa học không học môn Đại số tuyến tính."
"Ngành Kỹ thuật Hóa học có học môn Hóa lý 1 không?","Ngành Kỹ thuật Hóa học học môn Hóa lý 1 trong Học Kỳ Thứ 1 năm Ba.","Ngành Kỹ thuật Hóa học không học môn Hóa lý 1."
"Ngành Kỹ thuật Hóa học có học môn Nhiệt động học không?","Ngành Kỹ thuật Hóa học học môn Nhiệt động học trong Học Kỳ Thứ 2 năm Ba.","Ngành Kỹ thuật Hóa học không học môn Nhiệt động học."
"Ngành Kỹ thuật Hóa học có học môn Thiết kế 1 không?","Ngành Kỹ thuật Hóa học học môn Thiết kế 1 trong Học Kỳ Thứ 2 năm Tư.","Ngành Kỹ thuật Hóa học không học môn Thiết kế 1."
"Ngành Kỹ thuật Hóa học có học môn Thực tập và viết Đồ án tốt nghiệp không?","Ngành Kỹ thuật Hóa học học môn Thực tập và viết Đồ án tốt nghiệp trong Học Kỳ Thứ 2 năm Năm.","Ngành Kỹ thuật Hóa học không học môn Thực tập và viết Đồ án tốt nghiệp."
"Ngành Địa Tin học học những môn gì trong Học Kỳ Thứ 1 năm Nhất?","Trong Học Kỳ Thứ 1 năm Nhất, ngành Địa Tin học học Đại số tuyến tính, Giải tích 1, Tiếng Anh 1, Giáo dục thể chất 1, Pháp luật đại cương, Triết học Mác - Lênin, Tin học đại cương + TH (khối kinh tế).","Trong Học Kỳ Thứ 1 năm Nhất, ngành Địa Tin học không học các môn khác ngoài các môn học trên."
"Ngành Địa Tin học học những môn gì trong Học Kỳ Thứ 2 năm Nhất?","Trong Học Kỳ Thứ 2 năm Nhất, ngành Địa Tin học học Hóa học đại cương phần 1 + TN, Hình học vẽ kỹ thuật + BTL, Cơ lý thuyết 1, Tiếng Anh 2, Giáo dục thể chất 2, Kinh tế chính trị Mác - Lênin, Địa chất cơ sở, Thực tập địa chất cơ sở.","Trong Học Kỳ Thứ 2 năm Nhất, ngành Địa Tin học học các môn về hóa học, vẽ kỹ thuật và địa chất cơ sở."
"Ngành Địa Tin học học những môn gì trong Học Kỳ Thứ 3 năm Nhất?","Trong Học Kỳ Thứ 3 năm Nhất, ngành Địa Tin học học Giáo dục thể chất 3, Chủ nghĩa xã hội khoa học, Sức bền vật liệu + BTL, Địa chất cấu tạo và vẽ bản đồ địa chất, Nhập môn ngành Địa kỹ thuật xây dựng, Địa chất thủy văn đại cương + TN.","Trong Học Kỳ Thứ 3 năm Nhất, ngành Địa Tin học học các môn về sức bền vật liệu, địa chất cấu tạo và thủy văn."
"Ngành Địa Tin học học những môn gì trong Học Kỳ Thứ 4 năm Nhất?","Trong Học Kỳ Thứ 4 năm Nhất, ngành Địa Tin học học Vẽ kỹ thuật xây dựng, Tư tưởng Hồ Chí Minh, Cơ học kết cấu + BTL, Công trình xây dựng, Đất xây dựng + TH, Trắc địa đại cương và trắc địa mỏ, Công tác quốc phòng - an ninh.","Trong Học Kỳ Thứ 4 năm Nhất, ngành Địa Tin học học các môn về vẽ kỹ thuật, cơ học kết cấu và đất xây dựng."
"Ngành Địa Tin học học những môn gì trong Học Kỳ Thứ 5 năm Nhất?","Trong Học Kỳ Thứ 5 năm Nhất, ngành Địa Tin học học Vật liệu xây dựng + TN, Cơ học đất + BTL, Kết cấu bê tông cốt thép, Kết cấu thép, Đường lối quân sự của Đảng.","Trong Học Kỳ Thứ 5 năm Nhất, ngành Địa Tin học học các môn về vật liệu xây dựng, cơ học đất và kết cấu bê tông cốt thép."
"Ngành Địa Tin học học những môn gì trong Học Kỳ Thứ 6 năm Nhất?","Trong Học Kỳ Thứ 6 năm Nhất, ngành Địa Tin học học Địa chất động lực công trình, Cơ học đá công trình, Đồ án thiết kế nền và móng, Định mức dự toán và trúng thầu + BTL, Quân sự chung và chiến thuật.","Trong Học Kỳ Thứ 6 năm Nhất, ngành Địa Tin học học các môn về địa chất động lực, cơ học đá và thiết kế nền móng."
"Ngành Địa Tin học học những môn gì trong Học Kỳ Thứ 7 năm Nhất?","Trong Học Kỳ Thứ 7 năm Nhất, ngành Địa Tin học học Kỹ thuật thi công nền móng, Đồ án thiết kế xử lý nền đất yếu, Hố móng sâu và thiết kế giải pháp ổn định + BTL, Thiết kế và tổ chức thi công xử lý nền đất yếu, Thực tập khảo sát Địa kỹ thuật.","Trong Học Kỳ Thứ 7 năm Nhất, ngành Địa Tin học học các môn về kỹ thuật thi công nền móng và thiết kế xử lý nền đất yếu."
"Ngành Địa Tin học học những môn gì trong Học Kỳ Thứ 8 năm Nhất?","Trong Học Kỳ Thứ 8 năm Nhất, ngành Địa Tin học học Lịch sử Đảng Cộng sản Việt Nam, Các phương pháp nghiên cứu và khảo sát Địa chất công trình, Đồ án khảo sát Địa chất công trình - Địa kỹ thuật.","Trong Học Kỳ Thứ 8 năm Nhất, ngành Địa Tin học học các môn về khảo sát địa chất và các phương pháp nghiên cứu địa chất công trình."
"Ngành Địa Tin học học những môn gì trong Học Kỳ Thứ 9 năm Nhất?","Trong Học Kỳ Thứ 9 năm Nhất, ngành Địa Tin học học Đồ án tốt nghiệp, Thực tập doanh nghiệp.","Trong Học Kỳ Thứ 9 năm Nhất, ngành Địa Tin học học môn Đồ án tốt nghiệp và thực tập doanh nghiệp."
"Ngành Địa Tin học có học môn Địa chất cơ sở không?","Ngành Địa Tin học học môn Địa chất cơ sở trong Học Kỳ Thứ 2 năm Nhất.","Ngành Địa Tin học không học môn Địa chất cơ sở."
"Ngành Địa Tin học có học môn Địa chất thủy văn đại cương không?","Ngành Địa Tin học học môn Địa chất thủy văn đại cương trong Học Kỳ Thứ 3 năm Nhất.","Ngành Địa Tin học không học môn Địa chất thủy văn đại cương."
"Ngành Địa Tin học có học môn Trắc địa đại cương không?","Ngành Địa Tin học học môn Trắc địa đại cương trong Học Kỳ Thứ 4 năm Nhất.","Ngành Địa Tin học không học môn Trắc địa đại cương."
"Ngành Địa Tin học có học môn Cơ học kết cấu không?","Ngành Địa Tin học học môn Cơ học kết cấu trong Học Kỳ Thứ 4 năm Nhất.","Ngành Địa Tin học không học môn Cơ học kết cấu."
"Ngành Địa Tin học có học môn Cơ học đất không?","Ngành Địa Tin học học môn Cơ học đất trong Học Kỳ Thứ 5 năm Nhất.","Ngành Địa Tin học không học môn Cơ học đất."
"Ngành Địa Tin học có học môn Kết cấu thép không?","Ngành Địa Tin học học môn Kết cấu thép trong Học Kỳ Thứ 5 năm Nhất.","Ngành Địa Tin học không học môn Kết cấu thép."
"Ngành Địa Tin học có học môn Đồ án thiết kế nền và móng không?","Ngành Địa Tin học học môn Đồ án thiết kế nền và móng trong Học Kỳ Thứ 6 năm Nhất.","Ngành Địa Tin học không học môn Đồ án thiết kế nền và móng."
"Ngành Địa Tin học có học môn Thực tập khảo sát Địa kỹ thuật không?","Ngành Địa Tin học học môn Thực tập khảo sát Địa kỹ thuật trong Học Kỳ Thứ 7 năm Nhất.","Ngành Địa Tin học không học môn Thực tập khảo sát Địa kỹ thuật."
"Ngành Địa Tin học có học môn Đồ án khảo sát Địa chất công trình không?","Ngành Địa Tin học học môn Đồ án khảo sát Địa chất công trình trong Học Kỳ Thứ 8 năm Nhất.","Ngành Địa Tin học không học môn Đồ án khảo sát Địa chất công trình."
"Ngành Địa Tin học có học môn Thực tập doanh nghiệp không?","Ngành Địa Tin học học môn Thực tập doanh nghiệp trong Học Kỳ Thứ 9 năm Nhất.","Ngành Địa Tin học không học môn Thực tập doanh nghiệp."
